Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C5, C8, C9",0603,5,100nF,
"C10, C11",0603,2,22pF,
"C2, C3",0603,2,22µF 10V,
C4,0603,1,10µF 35V,
C6,0603,1,75pF,
C7,0603,1,10nF,
D1,0603,1,"""Vcc""",
D2,0603,1,"""Vin""",
D3,0603,1,"""D13""",
FB1,0603,1,FerriteBead_Small,
J1,PinHeader_1x13_P2.54mm_Vertical,1,Pin header 1,
J2,PinHeader_1x13_P2.54mm_Vertical,1,Pin header 2,
J3,PinHeader_1x06_P2.54mm_Vertical,1,FTDI,
L1,L_Taiyo-Yuden_NR-20xx_HandSoldering,1,10µH 1A,
Q1,SOT95P280X100-6N,1,Si3493DDV,
Q2,SOT-363_SC-70-6-Handsoldering,1,BC857BS,
R1,0603,1,49.9Ω,
"R10, R11, R6, R7, R9",0603,5,10kΩ,
"R2, R4, R8",0603,3,560Ω,
R3,0603,1,100kΩ,
R5,0603,1,13.3kΩ,
SW1,Tactile_sw_SMD_side_01,1,RESET,
U1,SOT-23-6_Handsoldering,1,TPS54302,
U2,TQFP-32_7x7mm,1,ATMEGA328P-AU,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz 16pF,
