Designator,Mid X,Mid Y,Rotation,Layer
C1,187.1,-82.7,270.0,bottom
C10,168.6,-83.15,90.0,top
C11,168.6,-86.65,270.0,top
C12,182.65,-80.895,270.0,top
C2,183.6,-83.6,180.0,bottom
C3,183.6,-81.7,180.0,bottom
C4,190.0,-75.9,0.0,bottom
C5,190.0,-78.3,0.0,bottom
C6,186.3,-87.55,180.0,bottom
C7,160.25,-72.6,0.0,top
C8,182.65,-84.475,90.0,top
C9,167.75,-79.75,0.0,top
D1,191.5,-76.675,90.0,top
D2,194.1,-76.675,90.0,top
D3,186.35,-76.675,90.0,top
FB1,178.7,-85.9,180.0,bottom
J1,163.55,-90.78,270.0,bottom
J2,194.0,-73.0,90.0,bottom
J3,159.8,-88.24,180.0,top
L1,185.5,-79.15,180.0,bottom
Q1,177.9,-82.65,270.0,bottom
Q2,177.6,-77.7,90.0,bottom
R1,182.6,-85.9,0.0,bottom
R10,168.6,-76.9125,270.0,top
R11,166.9,-76.9125,90.0,top
R2,194.5,-77.075,90.0,bottom
R3,186.3,-85.9,0.0,bottom
R4,188.9,-80.3,270.0,top
R5,190.0,-85.9,180.0,bottom
R6,180.55,-76.95,270.0,bottom
R7,180.55,-80.45,270.0,bottom
R8,188.9,-76.6975,270.0,top
R9,188.9,-84.1,270.0,top
SW1,194.0825,-81.89,90.0,top
U1,190.0,-81.9,270.0,bottom
U2,175.5,-81.87,0.0,top
Y1,164.6375,-84.05,90.0,top
